Month,Price,Change
1-Mar-90,2625.61,-
1-Apr-90,2686.15,2.31%
1-May-90,2741.95,2.08%
1-Jun-90,2584.56,-5.74%
1-Jul-90,2769.49,7.16%
1-Aug-90,2957.03,6.77%
1-Sep-90,3031.37,2.51%
1-Oct-90,2743.56,-9.49%
1-Nov-90,2585.89,-5.75%
1-Dec-90,2485.38,-3.89%
1-Jan-91,2448.52,-1.48%
1-Feb-91,2449.38,0.04%
1-Mar-91,2409.63,-1.62%
1-Apr-91,2472.04,2.59%
1-May-91,2305.88,-6.72%
1-Jun-91,2219.28,-3.76%
1-Jul-91,2236.28,0.77%
1-Aug-91,2233.19,-0.14%
1-Sep-91,2324.57,4.09%
1-Oct-91,2363.64,1.68%
1-Nov-91,2379.84,0.69%
1-Dec-91,2223.14,-6.58%
1-Jan-92,2139.23,-3.77%
1-Feb-92,2205.97,3.12%
1-Mar-92,2227.33,0.97%
1-Apr-92,2215.33,-0.54%
1-May-92,2216.52,0.05%
1-Jun-92,2299.2,3.73%
1-Jul-92,2520.32,9.62%
1-Aug-92,2521.64,0.05%
1-Sep-92,2414.06,-4.27%
1-Oct-92,2249.15,-6.83%
1-Nov-92,2158.32,-4.04%
1-Dec-92,2206.82,2.25%
1-Jan-93,2256.85,2.27%
1-Feb-93,2212.6,-1.96%
1-Mar-93,2152.59,-2.71%
1-Apr-93,1949.88,-9.42%
1-May-93,1794.5,-7.97%
1-Jun-93,1853.42,3.28%
1-Jul-93,1927.16,3.98%
1-Aug-93,1947.45,1.05%
1-Sep-93,1861.86,-4.39%
1-Oct-93,1646.4,-11.57%
1-Nov-93,1630.02,-0.99%
1-Dec-93,1724.19,5.78%
1-Jan-94,1805.35,4.71%
1-Feb-94,1866.4,3.38%
1-Mar-94,1914.87,2.60%
1-Apr-94,1881.82,-1.73%
1-May-94,2150.6,14.28%
1-Jun-94,2364.2,9.93%
1-Jul-94,2458.19,3.98%
1-Aug-94,2406.23,-2.11%
1-Sep-94,2505.93,4.14%
1-Oct-94,2547.67,1.67%
1-Nov-94,2802.45,10.00%
1-Dec-94,2985.3,6.52%
1-Jan-95,3008.93,0.79%
1-Feb-95,2877.65,-4.36%
1-Mar-95,2924.04,1.61%
1-Apr-95,2903.5,-0.70%
1-May-95,2773.31,-4.48%
1-Jun-95,2994.64,7.98%
1-Jul-95,3075.67,2.71%
1-Aug-95,3036.84,-1.26%
1-Sep-95,2915.52,-3.99%
1-Oct-95,2813.55,-3.50%
1-Nov-95,2977.36,5.82%
1-Dec-95,2926.26,-1.72%
1-Jan-96,2616.41,-10.59%
1-Feb-96,2537.71,-3.01%
1-Mar-96,2561.02,0.92%
1-Apr-96,2595.78,1.36%
1-May-96,2658.26,2.41%
1-Jun-96,2173.4,-18.24%
1-Jul-96,1985.57,-8.64%
1-Aug-96,2008.57,1.16%
1-Sep-96,1941.45,-3.34%
1-Oct-96,1961.17,1.02%
1-Nov-96,2230.86,13.75%
1-Dec-96,2268.08,1.67%
1-Jan-97,2434.93,7.36%
1-Feb-97,2405.85,-1.19%
1-Mar-97,2421.29,0.64%
1-Apr-97,2391.18,-1.24%
1-May-97,2514.33,5.15%
1-Jun-97,2612.62,3.91%
1-Jul-97,2450.46,-6.21%
1-Aug-97,2251.2,-8.13%
1-Sep-97,2107.3,-6.39%
1-Oct-97,2052.26,-2.61%
1-Nov-97,1917.45,-6.57%
1-Dec-97,1762.33,-8.09%
1-Jan-98,1688.45,-4.19%
1-Feb-98,1664.8,-1.40%
1-Mar-98,1747.98,5.00%
1-Apr-98,1800.9,3.03%
1-May-98,1732.53,-3.80%
1-Jun-98,1660.52,-4.16%
1-Jul-98,1651.04,-0.57%
1-Aug-98,1620.93,-1.82%
1-Sep-98,1647.64,1.65%
1-Oct-98,1586.39,-3.72%
