Month,Price,Change
1-Mar-90,393.06,-
1-Apr-90,374.24,-4.79%
1-May-90,369.05,-1.39%
1-Jun-90,352.33,-4.53%
1-Jul-90,362.53,2.90%
1-Aug-90,394.73,8.88%
1-Sep-90,389.32,-1.37%
1-Oct-90,380.74,-2.20%
1-Nov-90,381.73,0.26%
1-Dec-90,376.95,-1.25%
1-Jan-91,383.64,1.77%
1-Feb-91,363.83,-5.16%
1-Mar-91,363.34,-0.13%
1-Apr-91,358.38,-1.37%
1-May-91,356.95,-0.40%
1-Jun-91,366.72,2.74%
1-Jul-91,367.69,0.26%
1-Aug-91,356.31,-3.10%
1-Sep-91,348.74,-2.12%
1-Oct-91,358.69,2.85%
1-Nov-91,360.17,0.41%
1-Dec-91,361.73,0.43%
1-Jan-92,354.45,-2.01%
1-Feb-92,353.91,-0.15%
1-Mar-92,344.34,-2.70%
1-Apr-92,338.62,-1.66%
1-May-92,337.24,-0.41%
1-Jun-92,340.81,1.06%
1-Jul-92,352.72,3.49%
1-Aug-92,343.06,-2.74%
1-Sep-92,345.43,0.69%
1-Oct-92,344.38,-0.30%
1-Nov-92,335.02,-2.72%
1-Dec-92,334.82,-0.06%
1-Jan-93,329.01,-1.74%
1-Feb-93,329.31,0.09%
1-Mar-93,330.08,0.23%
1-Apr-93,342.15,3.66%
1-May-93,367.18,7.32%
1-Jun-93,371.89,1.28%
1-Jul-93,392.19,5.46%
1-Aug-93,378.84,-3.40%
1-Sep-93,355.28,-6.22%
1-Oct-93,364.18,2.51%
1-Nov-93,373.83,2.65%
1-Dec-93,383.3,2.53%
1-Jan-94,386.88,0.93%
1-Feb-94,381.91,-1.28%
1-Mar-94,384.13,0.58%
1-Apr-94,377.27,-1.79%
1-May-94,381.43,1.10%
1-Jun-94,385.64,1.10%
1-Jul-94,385.49,-0.04%
1-Aug-94,380.36,-1.33%
1-Sep-94,391.58,2.95%
1-Oct-94,389.77,-0.46%
1-Nov-94,384.39,-1.38%
1-Dec-94,379.29,-1.33%
1-Jan-95,378.55,-0.20%
1-Feb-95,376.64,-0.50%
1-Mar-95,382.12,1.45%
1-Apr-95,391.03,2.33%
1-May-95,385.22,-1.49%
1-Jun-95,387.56,0.61%
1-Jul-95,386.23,-0.34%
1-Aug-95,383.67,-0.66%
1-Sep-95,383.06,-0.16%
1-Oct-95,383.14,0.02%
1-Nov-95,385.31,0.57%
1-Dec-95,387.44,0.55%
1-Jan-96,399.45,3.10%
1-Feb-96,404.76,1.33%
1-Mar-96,396.21,-2.11%
1-Apr-96,392.85,-0.85%
1-May-96,391.93,-0.23%
1-Jun-96,385.27,-1.70%
1-Jul-96,383.47,-0.47%
1-Aug-96,387.35,1.01%
1-Sep-96,383.14,-1.09%
1-Oct-96,381.07,-0.54%
1-Nov-96,377.85,-0.84%
1-Dec-96,369,-2.34%
1-Jan-97,355.11,-3.76%
1-Feb-97,346.58,-2.40%
1-Mar-97,351.81,1.51%
1-Apr-97,344.47,-2.09%
1-May-97,343.84,-0.18%
1-Jun-97,340.76,-0.90%
1-Jul-97,324.1,-4.89%
1-Aug-97,324.01,-0.03%
1-Sep-97,322.82,-0.37%
1-Oct-97,324.87,0.64%
1-Nov-97,306.04,-5.80%
1-Dec-97,288.74,-5.65%
1-Jan-98,289.1,0.12%
1-Feb-98,297.49,2.90%
1-Mar-98,295.94,-0.52%
1-Apr-98,308.29,4.17%
1-May-98,299.1,-2.98%
1-Jun-98,292.32,-2.27%
1-Jul-98,292.87,0.19%
1-Aug-98,284.11,-2.99%
1-Sep-98,288.98,1.71%
1-Oct-98,295.93,2.41%
1-Nov-98,294.12,-0.61%
1-Dec-98,291.68,-0.83%
1-Jan-99,287.08,-1.58%
1-Feb-99,287.33,0.09%
1-Mar-99,285.96,-0.48%
1-Apr-99,282.62,-1.17%
1-May-99,276.44,-2.19%
1-Jun-99,261.31,-5.47%
1-Jul-99,256.08,-2.00%
1-Aug-99,256.69,0.24%
1-Sep-99,264.74,3.14%
1-Oct-99,310.72,17.37%
1-Nov-99,293.18,-5.64%
1-Dec-99,283.07,-3.45%
1-Jan-00,284.32,0.44%
1-Feb-00,299.86,5.47%
1-Mar-00,286.39,-4.49%
1-Apr-00,279.69,-2.34%
1-May-00,275.19,-1.61%
1-Jun-00,285.73,3.83%
1-Jul-00,281.59,-1.45%
1-Aug-00,274.47,-2.53%
1-Sep-00,273.68,-0.29%
1-Oct-00,270,-1.34%
1-Nov-00,266.01,-1.48%
1-Dec-00,271.45,2.05%
1-Jan-01,265.49,-2.20%
1-Feb-01,261.87,-1.36%
1-Mar-01,263.03,0.44%
1-Apr-01,260.48,-0.97%
1-May-01,272.36,4.56%
1-Jun-01,270.23,-0.78%
1-Jul-01,267.53,-1.00%
1-Aug-01,272.39,1.82%
1-Sep-01,283.42,4.05%
1-Oct-01,283.06,-0.13%
1-Nov-01,276.16,-2.44%
1-Dec-01,275.85,-0.11%
1-Jan-02,281.51,2.05%
1-Feb-02,295.5,4.97%
1-Mar-02,294.06,-0.49%
1-Apr-02,302.68,2.93%
1-May-02,314.49,3.90%
1-Jun-02,321.18,2.13%
1-Jul-02,313.29,-2.46%
1-Aug-02,310.26,-0.97%
1-Sep-02,319.14,2.86%
1-Oct-02,316.56,-0.81%
1-Nov-02,319.07,0.79%
1-Dec-02,331.92,4.03%
1-Jan-03,356.86,7.51%
1-Feb-03,358.97,0.59%
1-Mar-03,340.55,-5.13%
1-Apr-03,328.18,-3.63%
1-May-03,355.68,8.38%
1-Jun-03,356.35,0.19%
1-Jul-03,351.02,-1.50%
1-Aug-03,359.77,2.49%
1-Sep-03,378.95,5.33%
1-Oct-03,378.92,-0.01%
1-Nov-03,389.91,2.90%
1-Dec-03,406.95,4.37%
1-Jan-04,413.79,1.68%
1-Feb-04,404.88,-2.15%
1-Mar-04,406.67,0.44%
1-Apr-04,403.26,-0.84%
1-May-04,383.78,-4.83%
1-Jun-04,392.37,2.24%
1-Jul-04,398.09,1.46%
1-Aug-04,400.51,0.61%
1-Sep-04,405.28,1.19%
1-Oct-04,420.46,3.75%
1-Nov-04,439.38,4.50%
1-Dec-04,442.08,0.61%
1-Jan-05,424.03,-4.08%
1-Feb-05,423.35,-0.16%
1-Mar-05,433.85,2.48%
1-Apr-05,429.23,-1.06%
1-May-05,421.87,-1.71%
1-Jun-05,430.66,2.08%
1-Jul-05,424.48,-1.44%
1-Aug-05,437.93,3.17%
1-Sep-05,456.05,4.14%
1-Oct-05,469.9,3.04%
1-Nov-05,476.67,1.44%
1-Dec-05,510.1,7.01%
1-Jan-06,549.86,7.79%
1-Feb-06,555,0.93%
1-Mar-06,557.09,0.38%
1-Apr-06,610.65,9.61%
1-May-06,675.39,10.60%
1-Jun-06,596.15,-11.73%
1-Jul-06,633.71,6.30%
1-Aug-06,632.59,-0.18%
1-Sep-06,598.19,-5.44%
1-Oct-06,585.78,-2.07%
1-Nov-06,627.83,7.18%
1-Dec-06,629.79,0.31%
1-Jan-07,631.17,0.22%
1-Feb-07,664.75,5.32%
1-Mar-07,654.9,-1.48%
1-Apr-07,679.37,3.74%
1-May-07,667.31,-1.78%
1-Jun-07,655.66,-1.75%
1-Jul-07,665.38,1.48%
1-Aug-07,665.41,0.00%
1-Sep-07,712.65,7.10%
1-Oct-07,754.6,5.89%
1-Nov-07,806.25,6.84%
1-Dec-07,803.2,-0.38%
1-Jan-08,889.6,10.76%
1-Feb-08,922.3,3.68%
1-Mar-08,968.43,5.00%
1-Apr-08,909.71,-6.06%
1-May-08,888.66,-2.31%
1-Jun-08,889.49,0.09%
1-Jul-08,939.77,5.65%
1-Aug-08,839.03,-10.72%
1-Sep-08,829.93,-1.08%
1-Oct-08,806.62,-2.81%
1-Nov-08,760.86,-5.67%
1-Dec-08,816.09,7.26%
1-Jan-09,858.69,5.22%
1-Feb-09,943,9.82%
1-Mar-09,924.27,-1.99%
1-Apr-09,890.2,-3.69%
1-May-09,928.65,4.32%
1-Jun-09,945.67,1.83%
1-Jul-09,934.23,-1.21%
1-Aug-09,949.38,1.62%
1-Sep-09,996.59,4.97%
1-Oct-09,1043.16,4.67%
1-Nov-09,1127.04,8.04%
1-Dec-09,1134.72,0.68%
1-Jan-10,1117.96,-1.48%
1-Feb-10,1095.41,-2.02%
1-Mar-10,1113.34,1.64%
1-Apr-10,1148.69,3.18%
1-May-10,1205.43,4.94%
1-Jun-10,1232.92,2.28%
1-Jul-10,1192.97,-3.24%
1-Aug-10,1215.81,1.91%
1-Sep-10,1270.98,4.54%
1-Oct-10,1342.02,5.59%
1-Nov-10,1369.89,2.08%
1-Dec-10,1390.55,1.51%
1-Jan-11,1360.46,-2.16%
1-Feb-11,1374.68,1.05%
1-Mar-11,1423.26,3.53%
1-Apr-11,1480.89,4.05%
1-May-11,1512.58,2.14%
1-Jun-11,1529.36,1.11%
1-Jul-11,1572.75,2.84%
1-Aug-11,1759.01,11.84%
1-Sep-11,1772.14,0.75%
1-Oct-11,1666.43,-5.97%
1-Nov-11,1739,4.35%
1-Dec-11,1639.97,-5.69%
1-Jan-12,1654.05,0.86%
1-Feb-12,1744.82,5.49%
1-Mar-12,1675.95,-3.95%
1-Apr-12,1649.2,-1.60%
1-May-12,1589.04,-3.65%
1-Jun-12,1598.76,0.61%
1-Jul-12,1594.29,-0.28%
1-Aug-12,1630.31,2.26%
1-Sep-12,1744.81,7.02%
1-Oct-12,1746.58,0.10%
1-Nov-12,1721.64,-1.43%
1-Dec-12,1684.76,-2.14%
1-Jan-13,1671.85,-0.77%
1-Feb-13,1627.57,-2.65%
1-Mar-13,1593.09,-2.12%
1-Apr-13,1487.86,-6.61%
1-May-13,1414.03,-4.96%
1-Jun-13,1343.35,-5.00%
1-Jul-13,1285.52,-4.30%
1-Aug-13,1351.74,5.15%
1-Sep-13,1348.6,-0.23%
1-Oct-13,1316.58,-2.37%
1-Nov-13,1275.86,-3.09%
1-Dec-13,1221.51,-4.26%
1-Jan-14,1244.27,1.86%
1-Feb-14,1299.58,4.45%
1-Mar-14,1336.08,2.81%
1-Apr-14,1298.45,-2.82%
1-May-14,1288.74,-0.75%
1-Jun-14,1279.1,-0.75%
1-Jul-14,1310.59,2.46%
1-Aug-14,1295.13,-1.18%
1-Sep-14,1236.55,-4.52%
1-Oct-14,1222.49,-1.14%
1-Nov-14,1175.33,-3.86%
1-Dec-14,1200.62,2.15%
1-Jan-15,1250.75,4.18%
1-Feb-15,1227.08,-1.89%
1-Mar-15,1178.63,-3.95%
1-Apr-15,1198.93,1.72%
1-May-15,1198.63,-0.03%
1-Jun-15,1181.5,-1.43%
1-Jul-15,1128.31,-4.50%
1-Aug-15,1117.93,-0.92%
1-Sep-15,1124.77,0.61%
1-Oct-15,1159.25,3.07%
1-Nov-15,1086.44,-6.28%
1-Dec-15,1075.74,-0.98%
1-Jan-16,1097.91,2.06%
1-Feb-16,1199.5,9.25%
1-Mar-16,1245.14,3.80%
1-Apr-16,1242.26,-0.23%
1-May-16,1260.95,1.50%
1-Jun-16,1276.4,1.23%
1-Jul-16,1336.66,4.72%
1-Aug-16,1340.17,0.26%
1-Sep-16,1326.61,-1.01%
1-Oct-16,1266.55,-4.53%
1-Nov-16,1238.35,-2.23%
1-Dec-16,1157.36,-6.54%
1-Jan-17,1192.1,3.00%
1-Feb-17,1234.2,3.53%
1-Mar-17,1231.42,-0.23%
1-Apr-17,1266.88,2.88%
1-May-17,1246.04,-1.64%
1-Jun-17,1260.26,1.14%
1-Jul-17,1236.84,-1.86%
1-Aug-17,1283.04,3.74%
1-Sep-17,1314.07,2.42%
1-Oct-17,1279.51,-2.63%
1-Nov-17,1281.9,0.19%
1-Dec-17,1264.45,-1.36%
1-Jan-18,1331.3,5.29%
1-Feb-18,1330.73,-0.04%
1-Mar-18,1324.66,-0.46%
1-Apr-18,1334.76,0.76%
1-May-18,1303.45,-2.35%
1-Jun-18,1281.57,-1.68%
1-Jul-18,1237.71,-3.42%
1-Aug-18,1201.71,-2.91%
1-Sep-18,1198.39,-0.28%
1-Oct-18,1215.39,1.42%
1-Nov-18,1220.65,0.43%
1-Dec-18,1250.4,2.44%
1-Jan-19,1291.75,3.31%
1-Feb-19,1320.07,2.19%
1-Mar-19,1300.9,-1.45%
1-Apr-19,1285.91,-1.15%
1-May-19,1283.7,-0.17%
1-Jun-19,1359.04,5.87%
1-Jul-19,1412.89,3.96%
1-Aug-19,1500.41,6.19%
1-Sep-19,1510.58,0.68%
1-Oct-19,1494.81,-1.04%
1-Nov-19,1470.79,-1.61%
1-Dec-19,1479.13,0.57%
1-Jan-20,1560.67,5.51%
1-Feb-20,1597.1,2.33%
1-Mar-20,1591.93,-0.32%
