year,Argentina,Australia,Brazil,Canada,Chile,China,DRC,Ghana,Indonesia,Kazakhstan,Mexico,Papua New Guinea,Peru,Russia,South Africa,United States,Uzbekistan,Zambia,World
1999,-7,1.5,-2.6,4.3,-1.3,8.8,,,1.5,,4,,,8.1,,2.4,6,,
2000,1,,6.9,4.5,6,10,,3.8,7.5,14.9,7.5,,8.5,8.8,2.4,5.6,3.5,6.1,6
2001,,,1,,2.5,,,,3.5,11.4,-3.4,,1.5,,7,-3.7,,5.1,
2002,,4.3,2.3,2.2,-1.5,12.6,,,4.9,10,4.9,,6.5,3.7,3,-0.4,,,3
2003,16.2,-0.1,0.4,0.2,1.5,30.4,,,3.7,8.8,-0.7,,2,7,5,0.3,6.2,4,3
2004,12,1.9,6,2,7.8,17.1,,,10.5,10.6,3.8,,5.2,6.4,5.5,4.4,,6.9,
2005,7.7,1.1,3.4,2.6,3.4,29.5,,,4.8,4.6,1.9,,6.9,4,3.6,3.2,7.7,7.9,
2006,8.2,-3.5,3.2,0.7,3.1,22.9,,,2.6,7.7,3.6,,7,4.8,7.1,4.2,10.8,10.1,
2007,7.5,4.1,4.9,0.3,11.1,13.4,,7.8,4.7,7.2,1.4,6.4,9.8,7.4,4.4,-1.7,12.1,6.3,5
2008,4.3,3,4.3,-2.8,0.7,9.3,,8.1,3.7,2.4,-0.7,5.6,8,3.5,1,-2,12.7,6,3.2
2009,-1.2,-4.1,-5.5,-10.1,-4.1,9.9,,1.6,3.5,3.3,-7.3,5,-2.7,-13.1,-7.2,-5.5,6.7,11,-2.7
2010,,3,11.5,5.8,3.2,11,,5,3.6,7.3,6,10,8.5,8.3,3,3.3,8,12.1,4.6
2011,8.9,-0.1,0.3,3.7,6.3,13.9,,,4.1,3.4,3.9,,5,4.7,2.5,4.1,,8.8,3.9
2012,6.5,3.6,-0.8,1.8,4.8,8.1,,7,5.2,1.3,3.6,13,6,3.1,0.8,3.2,7.7,4.9,
2013,-0.4,3.2,3,1.4,3,7.6,12,10.5,4.3,2.1,3.5,5.5,5,0.1,0.9,2.5,7.1,8,3.5
2014,2.7,,,,,,,,,,,,,,,,,,
2015,,2.7,-5,2.3,1.7,7,8.7,4.5,4.5,0.8,3.3,10.8,-0.3,-3.5,1.7,3,4,2.2,1.8
2016,0.3,2,-8.4,-0.3,-1.7,6,1.2,-0.5,3.5,-1.1,3.3,4.8,3.2,0.7,-1,2.1,6,0.2,2.3
2017,2.7,1.4,0,4.9,-0.4,6.1,1.6,16.7,4.1,5.8,-0.6,3.3,2.7,-1,1.2,2.3,4.5,4.7,3.2
2018,,,,,,,,,,,,,,,,,,,
