year,Argentina,Australia,Brazil,Canada,Chile,China,DRC,Ghana,Indonesia,Kazakhstan,Mexico,Papua New Guinea,Peru,Russia,South Africa,United States,Uzbekistan,Zambia,World
1999,,,,,,,,,,,,,,,,,,,
2000,1.16,1.02,0.94,1.02,1.17,0.9,3.19,1.87,1.63,-0.05,1.53,2.47,1.75,-0.38,0.5,0.91,1.6,1.95,1.3
2001,1.15,0.99,0.91,0.99,1.13,0.88,3.1,1.79,1.6,0.03,1.5,2.43,1.7,-0.35,0.26,0.9,1.6,1.93,1.25
2002,1.13,0.96,0.87,0.96,1.09,0.87,2.79,1.7,1.54,0.1,1.47,2.39,1.66,-0.33,0.02,0.89,1.62,1.9,1.23
2003,1.05,0.93,1.15,0.94,1.05,0.6,2.9,1.45,1.52,0.17,1.43,2.34,1.61,-0.3,0.01,0.92,1.63,1.52,1.17
2004,1.02,0.9,1.11,0.92,1.01,0.57,2.99,1.36,1.49,0.26,1.18,2.3,1.39,-0.45,-0.25,0.92,1.65,1.47,1.14
2005,0.98,0.87,1.06,0.9,0.97,0.58,2.98,1.25,1.45,0.3,1.17,2.26,1.36,-0.37,-0.31,0.92,1.67,2.12,1.14
2006,0.96,0.85,1.04,0.88,0.94,0.59,3.07,2.07,1.41,0.33,1.16,2.21,1.32,-0.37,-0.4,0.91,1.7,2.11,1.14
2007,0.94,0.82,1.01,0.87,0.92,0.61,3.39,1.97,1.21,0.35,1.15,2.16,1.29,-0.48,-0.46,0.89,1.73,1.66,1.17
2008,1.07,1.22,1.23,0.83,0.91,0.63,3.24,1.93,1.18,0.37,1.14,2.12,1.26,-0.47,0.83,0.88,0.97,1.65,1.19
2009,1.05,1.2,1.2,0.82,0.88,0.66,3.21,1.88,1.14,0.39,1.13,2.07,1.23,-0.47,0.28,0.98,0.94,1.63,1.13
2010,1.04,1.17,1.17,0.8,0.86,0.49,3.17,1.86,1.1,0.4,1.12,2.03,1.19,-0.47,-0.05,0.97,0.94,3.12,
2011,1.02,1.15,1.13,0.79,0.84,0.49,2.61,1.82,1.07,0.4,1.1,1.99,1.03,-0.47,-0.38,0.96,0.94,3.06,1.09
2012,1,1.13,1.1,0.78,0.88,0.48,2.58,1.79,1.04,1.24,1.09,1.94,1.02,-0.48,-0.41,0.9,0.94,3.03,1.1
2013,0.98,1.11,0.83,0.77,0.86,0.46,2.54,2.19,0.99,1.2,1.07,1.89,1,-0.02,-0.45,0.9,0.94,2.89,1.1
2014,0.95,1.09,0.8,0.76,0.84,0.44,2.5,2.19,0.95,1.17,1.21,1.84,0.99,-0.03,-0.48,0.77,0.93,2.88,1.06
2015,,,,,,,,,,,,,,,,,,,
2016,0.93,1.05,0.75,0.74,0.8,0.43,2.42,2.18,0.89,1.09,1.15,1.75,0.96,-0.06,0.99,0.81,0.93,2.94,1.06
2017,,,,,,,,,,,,,,,,,,,1.06
2018,0.89,1.01,0.71,0.72,0.75,0.37,2.33,2.16,0.83,0.98,1.09,1.67,0.94,-0.11,0.97,0.8,0.91,2.91,1.05
